SGP_VRaw,SGP_NRaw,SGP_Vin,SGP_Nin,STC_CO2,STC_Temp,ENS_VOC,MiCO,MiNO2,MiNH3,GMVOC,GMODO,GMSMO,GMETH,GMH2S,Label
27950,10027,22,1,-9.31,0,49,32767,25706,5537,7713,32767,7436,12899,8870,0
27911,10026,26,1,-9.29,0,45,32767,25773,5520,7743,32767,7471,12940,8883,0
27894,10017,32,1,-9.21,0,49,32767,25853,5539,7781,32767,7511,13013,8901,0
27885,10019,36,1,-9.48,0,41,32767,25927,5554,7816,32767,7548,13067,8917,0
27887,10016,41,1,-9.24,0,38,32767,26007,5583,7856,32767,7586,13131,8934,0
27913,10019,45,1,-9.23,0,37,32767,26091,5616,7903,32767,7626,13201,8954,0
27911,10007,48,1,-9.18,0,30,32767,26178,5642,7944,32767,7664,13265,8976,0
27920,10012,51,1,-9.23,0,25,32767,26264,5662,7985,32767,7702,13319,8995,0
27923,10008,54,1,-9.24,0,25,32767,26352,5690,8026,32767,7743,13387,9012,0
27936,10000,57,1,-9.03,0,23,32767,26439,5718,8066,32767,7773,13450,9028,0
27939,10003,59,1,-9.45,0,24,32767,26524,5745,8097,32767,7776,13432,9031,0
27951,10004,61,1,-8.94,0,30,32767,26599,5764,8135,32767,7817,13504,9048,0
27946,10001,62,1,-9.16,0,21,32767,26676,5785,8171,32767,7859,13580,9069,0
27940,10001,64,1,-9.28,0,28,32767,26750,5799,8205,32767,7891,13624,9085,0
27938,9992,66,1,-9.23,0,30,32767,26815,5799,8235,32767,7921,13663,9097,0
27917,9991,68,1,-9.19,0,33,32767,26878,5800,8262,32767,7937,13684,9113,0
27902,9992,71,1,-9.38,0,36,32767,26943,5810,8291,32767,7973,13726,9126,0
27892,9991,73,1,-9.13,0,33,32767,26999,5799,8315,32767,8004,13754,9139,0
27870,9994,76,1,-9.12,0,31,32767,27052,5791,8336,32767,8034,13781,9154,0
27842,9987,80,1,-9.39,0,32,32767,27107,5792,8356,32767,8026,13803,9164,0
27862,9983,82,1,-9.27,0,48,32767,27160,5808,8387,32767,8051,13852,9176,0
27860,9981,85,1,-9.22,0,50,32767,27209,5827,8419,32767,8084,13895,9190,0
27885,9985,86,1,-9.39,0,42,32767,27267,5843,8451,32767,8117,13943,9203,0
27863,9978,88,1,-9.43,0,33,32767,27324,5852,8478,32767,8145,13978,9214,0
27862,9984,90,1,-9.41,0,31,32767,27376,5848,8507,32767,8170,14002,9229,0
27845,9981,92,1,-9.08,0,32,32767,27433,5846,8529,32767,8196,14035,9240,0
27847,9975,94,1,-9.34,0,36,32767,27488,5857,8554,32767,8217,14067,9251,0
27864,9974,96,1,-9.32,0,33,32767,27543,5866,8581,32767,8242,14102,9262,0
27847,9969,97,1,-9.34,0,37,32767,27592,5862,8613,32767,8270,14129,9274,0
27826,9968,99,1,-9.24,0,27,32767,27645,5869,8629,32767,8295,14166,9285,0
27829,9965,101,1,-9.34,0,29,32767,27699,5886,8661,32767,8322,14207,9299,0
27857,9965,102,1,-9.45,0,38,32767,27754,5906,8689,32767,8344,14246,9311,0
27862,9961,103,1,-9.29,0,28,32767,27806,5924,8722,32767,8367,14283,9322,0
27867,9967,103,1,-9.29,0,41,32767,27858,5941,8752,32767,8390,14322,9333,0
27882,9954,103,1,-9.16,0,24,32767,27901,5957,8775,32767,8413,14358,9343,0
27892,9968,103,1,-9.24,0,31,32767,27954,5975,8809,32767,8436,14400,9353,0
27899,9954,103,1,-9.09,0,24,32767,28001,5989,8834,32767,8457,14435,9360,0
27905,9958,102,1,-9.28,0,23,32767,28049,6004,8860,32767,8479,14467,9373,0
27910,9949,102,1,-9.2,0,31,32767,28093,6015,8885,32767,8503,14502,9383,0
27904,9955,102,1,-9.56,0,26,32767,28132,6016,8904,32767,8524,14530,9397,0
27902,9951,101,1,-9.44,0,27,32767,28167,6020,8935,32767,8546,14562,9406,0
27901,9949,101,1,-9.33,0,23,32767,28206,6026,8959,32767,8566,14595,9415,0
27903,9949,101,1,-9.37,0,25,32767,28249,6039,8977,32767,8586,14629,9427,0
27902,9945,101,1,-9.27,0,25,32767,28291,6049,9000,32767,8606,14658,9435,0
27905,9947,101,1,-9.31,0,25,32767,28331,6058,9025,32767,8627,14692,9448,0
27905,9944,100,1,-9.34,0,27,32767,28367,6065,9050,32767,8643,14723,9458,0
27922,9939,100,1,-9.49,0,27,32767,28404,6074,9074,32767,8662,14754,9469,0
27915,9934,100,1,-9.21,0,26,32767,28442,6086,9103,32767,8683,14788,9478,0
27924,9938,99,1,-9.32,0,26,32767,28481,6092,9129,32767,8698,14817,9487,0
27920,9938,99,1,-9.19,0,32,32767,28518,6100,9150,32767,8718,14842,9498,0
27911,9929,99,1,-9.37,0,24,32767,28554,6100,9172,32767,8738,14871,9504,0
27912,9930,98,1,-9.59,0,31,32767,28588,6102,9178,32767,8756,14903,9519,0
27902,9939,99,1,-9.28,0,25,32767,28619,6106,9200,32767,8772,14923,9526,0
27899,9933,99,1,-9.29,0,30,32767,28651,6110,9213,32767,8788,14948,9533,0
27903,9934,99,1,-9.42,0,26,32767,28679,6106,9233,32767,8803,14967,9544,0
27890,9923,99,1,-9.44,0,37,32767,28707,6104,9253,32767,8821,14985,9553,0
27891,9923,99,1,-9.27,0,29,32767,28739,6108,9272,32767,8837,15017,9562,0
27887,9925,100,1,-9.29,0,30,32767,28773,6115,9296,32767,8854,15044,9573,0
27894,9922,100,1,-9.17,0,28,32767,28806,6121,9314,32767,8873,15068,9581,0
27903,9921,100,1,-9.31,0,25,32767,28839,6123,9340,32767,8887,15097,9589,0
27899,9919,100,1,-9.35,0,24,32767,28869,6127,9355,32767,8903,15119,9598,0
27904,9917,100,1,-9.44,0,30,32767,28893,6124,9373,32767,8918,15143,9604,0
27896,9913,100,1,-9.59,0,23,32767,28925,6132,9393,32767,8937,15175,9616,0
27898,9912,100,1,-9.41,0,31,32767,28957,6142,9419,32767,8953,15205,9623,0
27909,9914,100,1,-9.52,0,30,32767,28991,6150,9433,32767,8959,15231,9635,0
27911,9907,100,1,-9.45,0,20,32767,29020,6156,9459,32767,8971,15240,9639,0
27898,9910,100,1,-9.28,0,28,32767,29039,6162,9468,32767,8948,15190,9631,0
27918,9911,99,1,-9.22,0,52,32767,29034,6165,9453,32767,8940,15171,9619,0
27887,9908,100,1,-9.45,0,57,32767,29012,6167,9478,32767,8955,15223,9623,0
27896,9907,100,1,-9.61,0,50,32767,29011,6176,9490,32767,8978,15267,9631,0
27903,9897,100,1,-9.47,0,50,32767,29024,6176,9524,32767,9001,15310,9644,0
27917,9901,99,1,-9.37,0,40,32767,29053,6175,9551,32767,9020,15342,9648,0
